Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
9999	0.17873960202708813	42.7	363.07969333149225	300.0	9999.0	9999.0
19999	0.17182782208025466	53.3	240.43177187658785	300.0	9999.0	19999.0
29999	0.17021417250558693	41.7	259.4658669251752	300.0	29999.0	29999.0
39999	0.16912273816913323	71.8	335.00728052488887	300.0	29999.0	39999.0
49999	0.1681566882289947	73.9	423.2281476934042	300.0	29999.0	49999.0
59999	0.1670943295776849	50.2	195.17352550692453	300.0	29999.0	59999.0
69999	0.16655667069032798	30.9	192.57843297072287	300.0	69999.0	69999.0
79999	0.16532906952276888	61.6	331.656448647244	300.0	69999.0	79999.0
89999	0.16499361033067098	58.8	340.4969596367889	300.0	69999.0	89999.0
99999	0.16425467221289916	62.0	340.6141903873121	300.0	69999.0	99999.0
