Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.18619753542542486	62.3	317.8881968860607	300.0	2499.0	2499.0
4999	0.1761114261239766	73.2	413.7379499021102	300.0	2499.0	4999.0
7499	0.17440565955042805	60.3	276.4193544500115	300.0	7499.0	7499.0
9999	0.17235312098860733	45.5	329.50005381720086	300.0	9999.0	9999.0
12499	0.1720193995445967	61.8	389.17730882118497	300.0	9999.0	12499.0
14999	0.17062931881248936	66.9	220.49026398644324	300.0	9999.0	14999.0
17499	0.16959885989129558	40.3	223.89794890682992	300.0	17499.0	17499.0
19999	0.17040081668496102	56.9	212.11708491656867	300.0	17499.0	19999.0
22499	0.16955873222351064	48.0	252.617391302467	300.0	17499.0	22499.0
24999	0.16931298782527424	58.0	358.5854833296379	300.0	17499.0	24999.0
27499	0.16862971750795872	41.4	303.84545651089695	300.0	17499.0	27499.0
29999	0.16851909130811624	33.7	225.67725451728933	300.0	29999.0	29999.0
32499	0.167644086745381	56.3	268.3015880011982	300.0	29999.0	32499.0
34999	0.16827578991651532	35.6	290.398817903698	300.0	29999.0	34999.0
37499	0.16841934407055364	49.4	318.5643421523843	300.0	29999.0	37499.0
39999	0.16785404341518909	61.3	358.8196307804732	300.0	29999.0	39999.0
42499	0.16709326726496215	50.2	354.58933912134296	300.0	29999.0	42499.0
44999	0.16748661996722186	66.2	359.9878299598678	300.0	29999.0	44999.0
47499	0.1670855714172124	53.1	342.4813163471489	300.0	29999.0	47499.0
49999	0.16706031718850187	58.1	363.0991619328257	300.0	29999.0	49999.0
52499	0.1662888078838588	56.4	393.55889839209874	300.0	29999.0	52499.0
54999	0.16580914064943802	49.8	352.25669222147536	300.0	29999.0	54999.0
57499	0.16685014263391532	57.5	315.2414818846622	300.0	29999.0	57499.0
59999	0.16610228056907617	68.7	409.2804580826065	300.0	29999.0	59999.0
62499	0.16632137569785116	86.1	283.6832228448645	300.0	29999.0	62499.0
64999	0.16532934409081929	65.2	301.70886633673217	300.0	29999.0	64999.0
67499	0.1657712997078894	66.1	417.47768101295986	300.0	29999.0	67499.0
69999	0.1656957111358645	48.2	266.52776307082485	300.0	29999.0	69999.0
72499	0.16413286965489407	39.9	253.67584615622246	300.0	29999.0	72499.0
74999	0.1648162314653399	67.7	424.47732799794915	300.0	29999.0	74999.0
77499	0.1651808910340068	69.0	414.29478442727566	300.0	29999.0	77499.0
79999	0.16424566542208163	66.1	412.47752179590077	300.0	29999.0	79999.0
82499	0.16448290983140434	72.6	446.2731353876112	300.0	29999.0	82499.0
84999	0.1643577495992185	59.0	388.9008610562735	300.0	29999.0	84999.0
87499	0.16447695539295684	81.5	290.05428430893636	300.0	29999.0	87499.0
89999	0.1637467862963679	55.9	349.06902890152406	300.0	29999.0	89999.0
92499	0.16415094027519225	51.8	281.2902241864037	300.0	29999.0	92499.0
94999	0.16356209513545047	37.2	301.48833231061934	300.0	29999.0	94999.0
97499	0.16345084808170773	63.3	397.21995550698824	300.0	29999.0	97499.0
99999	0.16294341316223146	50.4	258.37756063634265	300.0	29999.0	99999.0
