Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.15614029301106944	3.8149532767745065	0.41796419684619995	-8.435453755080696	-9.683885189631372e-05	5.5127003318227714e-05	97.0	409.10107083782106	300.0	2499.0	2499.0
4999	0.14029498796761006	21.501167974894777	1.6058262133602204	-22.107074573135375	0.11788790532501676	0.18715880967307158	59.4	391.96299807462054	300.0	4999.0	4999.0
7499	0.13518461229503115	45.116226804539664	2.8441511837658497	-27.217113038635226	6.767581793761268	5.293070570611946	33.1	346.7594630533115	300.0	7499.0	7499.0
9999	0.13285240188240996	63.12557554578116	3.245328221824722	-11.414196333313003	31.812249856185908	16.7908244514465	55.4	354.1924458318662	300.0	7499.0	9999.0
12499	0.1315541062563657	79.1315017777298	3.525121777188861	29.981346215820334	80.72172182159434	32.91293079147333	50.3	329.34344655163443	300.0	7499.0	12499.0
14999	0.13053654792904873	94.95823775107199	3.981479837368078	103.39775307312038	160.3938442108153	53.292350045776395	57.7	373.3861452742414	300.0	7499.0	14999.0
17499	0.12918728563487542	110.24537606785444	4.307555984155121	209.0647015930176	271.17798760375956	77.66489579772957	22.2	242.9749741010196	300.0	17499.0	17499.0
19999	0.1289230010390281	124.45457017592109	4.728284601794178	354.68835087280314	421.00875091552695	105.66129738159167	30.4	296.1544686505643	300.0	17499.0	19999.0
22499	0.1281739890366792	134.27478207513138	4.920722816419816	539.2727687255856	609.1005796752951	137.24479913635278	58.4	373.01369201538904	300.0	17499.0	22499.0
24999	0.12776391457617262	140.34176414614672	5.082916079764807	760.4729955810543	833.289349755858	172.03868210449227	25.4	334.2092110740217	300.0	17499.0	24999.0
27499	0.12752895554900157	147.5869410568494	5.539744783659493	1009.2056089843736	1084.370028662111	209.64868019409178	42.1	322.26441614205345	300.0	17499.0	27499.0
29999	0.12696274286508538	153.1567511119911	5.806698774918338	1289.4249672851572	1366.5687218505861	249.56971741943377	42.9	314.882919623862	300.0	17499.0	29999.0
32499	0.12722894692122938	159.7463295594665	6.116303480156552	1602.0204749511715	1680.6893432128902	291.72907214355524	56.1	378.8521864614303	300.0	17499.0	32499.0
34999	0.1267266349911688	164.57486975318523	6.479087569825801	1915.6967347167952	1995.3986244628916	335.6755871704109	44.8	352.7856678614617	300.0	17499.0	34999.0
37499	0.12641650288701073	172.80358522665736	6.786490454493254	2230.329374999993	2310.713307910158	380.7839341918957	30.1	307.36570212249916	300.0	17499.0	37499.0
39999	0.12603943248689195	174.71990530828566	7.081678043146281	2542.1895650390593	2623.012665917964	426.64667692871075	38.7	350.60111805612866	300.0	17499.0	39999.0
42499	0.12658001910746092	176.47553230071125	7.3267182379530125	2830.864483691404	2911.936296874991	472.7994191528329	35.6	346.2350947038332	300.0	17499.0	42499.0
44999	0.12563400726318336	176.88474059456516	7.813033320067216	3100.710690136719	3182.0136562499997	518.8994519531255	44.4	333.38395592750715	300.0	17499.0	44999.0
47499	0.1255988524407146	186.15866035728536	8.043727013243407	3336.078069824219	3417.3931200195298	564.6941958740218	32.4	311.80566409124697	300.0	17499.0	47499.0
49999	0.12569721339643003	183.40065733555923	7.952179672343026	3499.825380273433	3580.9606722656226	609.4368994384774	18.0	290.4103579403347	300.0	49999.0	49999.0
52499	0.12533297208845606	187.00217896280674	8.286436867470044	3662.280929589843	3743.346917675781	652.9324502197253	45.0	340.25062265935367	300.0	49999.0	52499.0
54999	0.12513489433229016	189.14790812870444	8.764574994388761	3735.3971243164056	3816.15760478516	695.0664065917954	43.1	294.12779692270567	300.0	49999.0	54999.0
57499	0.1251162014394997	188.95029079500966	8.739935974578135	3773.889620605466	3854.4434058593747	735.296657275392	52.2	375.1233375818741	300.0	49999.0	57499.0
59999	0.12481479243934161	193.6988523758987	8.797281825185912	3790.9533874023396	3871.2247503906287	773.6935060302742	31.5	347.76759234933326	300.0	49999.0	59999.0
62499	0.12468906092345697	196.22060828192085	9.28568663084606	3774.0895104492224	3853.871178320317	810.2742794189452	22.1	297.7922396930072	300.0	49999.0	62499.0
64999	0.12458740873634842	196.57392370223434	9.415536919126344	3667.115071191406	3746.3689917968754	844.7304443603505	50.7	313.7955918202674	300.0	49999.0	64999.0
67499	0.12428917109370242	199.786227728461	9.532718770977466	3628.0519369628923	3706.8939430664045	877.1492602050787	47.2	376.11380161762395	300.0	49999.0	67499.0
69999	0.12475988990068441	202.7554702599542	10.043995572094422	3570.78903408203	3649.0396999511763	908.0535864990226	54.9	346.61886172414376	300.0	49999.0	69999.0
72499	0.12409489728510363	202.63803167462765	10.50383392843745	3459.7640249023434	3537.453793994133	937.2576773925784	33.9	323.7171953309236	300.0	49999.0	72499.0
74999	0.12424269869327538	213.95567676174616	11.21645967939551	3355.582792529298	3432.547353271486	964.716500830078	27.7	294.3991024386389	300.0	49999.0	74999.0
77499	0.12399118508398543	209.8545132971597	11.506408355753099	3185.4278470703107	3261.5056661132835	990.4592287353522	43.6	327.95980430246846	300.0	49999.0	77499.0
79999	0.12381319475770004	214.9370746406858	12.005420947342456	3002.719721655271	3078.091572021486	1014.1349600097668	29.3	283.80450582924	300.0	49999.0	79999.0
82499	0.12399518402814876	216.8526497570786	12.525165569258956	2832.4333415771534	2907.0876594970687	1035.93711279297	50.0	308.36811719564525	300.0	49999.0	82499.0
84999	0.12381333209276213	221.45912403761895	13.03397559446446	2639.9423676269516	2713.8924461425695	1056.2063944824208	19.9	283.9390451647219	300.0	49999.0	84999.0
87499	0.12393114807009688	233.20467219188347	13.658059430402792	2270.468023059087	2343.331936657711	1074.0369229980488	35.1	320.9632906393276	300.0	49999.0	87499.0
89999	0.12367233324050891	231.2491627084768	13.92805279460987	1946.4842587066646	2018.2464370849564	1089.0789548828116	25.7	311.56522813929456	300.0	49999.0	89999.0
92499	0.12369131449162965	232.27595504369705	13.821881057508348	1611.5914632431056	1682.4959087738043	1101.7320877929726	28.8	301.0552472587122	300.0	49999.0	92499.0
94999	0.1239498275190592	235.26714218892496	14.448860615210927	1201.5953209426903	1271.6037029228219	1111.795780126952	36.5	278.50261528328036	300.0	49999.0	94999.0
97499	0.12325098157227031	241.95767624034872	14.782467690947884	780.7057723342895	849.9128505661015	1118.806676611327	47.3	312.35924375778995	300.0	49999.0	97499.0
99999	0.1238047848284246	243.89261569462775	15.340528654793598	420.32994912109433	488.77466521911555	1123.254962988276	23.9	270.36709083407675	300.0	49999.0	99999.0
